World Rank,University Names,Location ,National Rank,Educational Rank,Employability Rank,Faculty Rank,Research Rank,Score
720Top 3.6%,University of Missouri-Kansas City,USA,172,543,557,-,694,72.3
721Top 3.6%,Indian Institute of Technology Kharagpur,India,8,-,466,-,702,72.3
722Top 3.6%,Shandong University of Science and Technology,China,107,-,809,-,688,72.3
723Top 3.6%,Warsaw University of Technology,Poland,5,347,946,-,690,72.3
724Top 3.6%,University of Salamanca,Spain,21,-,890,-,687,72.3
725Top 3.6%,Central Party School of the Communist Party of China,China,108,-,21,-,-,72.3
726Top 3.6%,Mississippi State University,USA,173,323,427,-,710,72.3
727Top 3.6%,"China Medical University, PRC",China,109,-,-,-,685,72.2
728Top 3.6%,Vilnius University,Lithuania,1,-,-,-,686,72.2
729Top 3.6%,Otto von Guericke University Magdeburg,Germany,43,-,1558,-,689,72.2
730Top 3.6%,Kanazawa University,Japan,21,-,632,-,698,72.2
731Top 3.6%,University of Calabria,Italy,37,-,-,-,692,72.2
732Top 3.6%,University of Massachusetts Boston,USA,174,-,1293,192,837,72.2
733Top 3.6%,Montana State University - Bozeman,USA,175,-,1428,-,693,72.2
734Top 3.6%,Air Force Medical University,China,110,-,-,-,695,72.2
735Top 3.6%,Istanbul Technical University,Turkey,6,-,908,-,703,72.2
736Top 3.6%,University of Ioannina,Greece,4,-,-,-,696,72.2
737Top 3.6%,Yeungnam University,South Korea,22,-,448,-,717,72.2
738Top 3.6%,National Chung Hsing University,Taiwan,9,-,229,-,758,72.2
739Top 3.6%,Chongqing Medical University,China,111,-,-,-,700,72.2
740Top 3.7%,Beijing Forestry University,China,112,-,-,-,701,72.1
741Top 3.7%,Henan University,China,113,-,-,-,704,72.1
742Top 3.7%,Saarland University,Germany,44,-,493,-,716,72.1
743Top 3.7%,Quaid-i-Azam University,Pakistan,2,-,-,-,705,72.1
744Top 3.7%,Isfahan University of Technology,Iran,5,-,-,-,706,72.1
745Top 3.7%,Anhui University,China,114,-,927,-,707,72.1
746Top 3.7%,Tokyo Metropolitan University,Japan,22,191,1184,-,726,72.1
747Top 3.7%,"Birkbeck, University of London",United Kingdom,47,225,-,175,902,72.1
748Top 3.7%,Toulouse INP,France,35,-,278,-,752,72.1
749Top 3.7%,University of Murcia,Spain,22,-,-,-,708,72.1
750Top 3.7%,Ningbo University,China,115,-,1180,-,709,72.1
751Top 3.7%,Ajou University,South Korea,23,-,1167,-,711,72.1
752Top 3.7%,China University of Petroleum (East China),China,116,-,601,-,721,72.1
753Top 3.7%,University of Debrecen,Hungary,4,-,-,-,712,72.0
754Top 3.7%,Budker Institute of Nuclear Physics of the Siberian Branch of the Russian Academy of Sciences,Russia,10,-,-,-,713,72.0
