Ranking,University Name,National/Regional Rank,Total Score,LOGO,University Detail 
101-150,University of Utah,40-54,0.0,http://www.shanghairanking.com/_uni/logo/755c0861c.png,http://www.shanghairanking.com/institution/university-of-utah
101-150,University of Warwick,9-16,13.1,http://www.shanghairanking.com/_uni/logo/90bb99399.png,http://www.shanghairanking.com/institution/university-of-warwick
101-150,Wuhan University,9-13,0.0,http://www.shanghairanking.com/_uni/logo/46182017.png,http://www.shanghairanking.com/institution/wuhan-university
101-150,Xi'an Jiaotong University,9-13,0.0,http://www.shanghairanking.com/_uni/logo/77584005.png,http://www.shanghairanking.com/institution/xian-jiaotong-university
151-200,Baylor College of Medicine,55-62,0.0,http://www.shanghairanking.com/_uni/logo/413ba3e0b.png,http://www.shanghairanking.com/institution/baylor-college-of-medicine
151-200,Beijing Institute of Technology,14-26,0.0,http://www.shanghairanking.com/_uni/logo/85386135.png,http://www.shanghairanking.com/institution/beijing-institute-of-technology
151-200,Cardiff University,17-21,0.0,http://www.shanghairanking.com/_uni/logo/0d9ee072c.png,http://www.shanghairanking.com/institution/cardiff-university
151-200,City University of Hong Kong,3-4,0.0,http://www.shanghairanking.com/_uni/logo/ed73d6ca9.png,http://www.shanghairanking.com/institution/city-university-of-hong-kong
151-200,Delft University of Technology,7-9,10.7,http://www.shanghairanking.com/_uni/logo/a0e573fe4.png,http://www.shanghairanking.com/institution/delft-university-of-technology
151-200,Georgia Institute of Technology,55-62,11.9,http://www.shanghairanking.com/_uni/logo/ce6aa6357.png,http://www.shanghairanking.com/institution/georgia-institute-of-technology
151-200,Goethe University Frankfurt,6-9,32.5,http://www.shanghairanking.com/_uni/logo/4c5e6a039.png,http://www.shanghairanking.com/institution/goethe-university-frankfurt
151-200,Harbin Institute of Technology,14-26,0.0,http://www.shanghairanking.com/_uni/logo/88331082.png,http://www.shanghairanking.com/institution/harbin-institute-of-technology
151-200,Jilin University,14-26,0.0,http://www.shanghairanking.com/_uni/logo/76557044.png,http://www.shanghairanking.com/institution/jilin-university
151-200,London School of Hygiene & Tropical Medicine,17-21,5.3,http://www.shanghairanking.com/_uni/logo/44c92e762.png,http://www.shanghairanking.com/institution/london-school-of-hygiene-tropical-medicine
151-200,Lund University,5,18.5,http://www.shanghairanking.com/_uni/logo/165fbbe8f.png,http://www.shanghairanking.com/institution/lund-university
